City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,15.31,82,0,6.17,CA,1691504760
1,luderitz,-26.6481,15.1594,22.76,45,0,10.26,NA,1691504760
2,port-aux-francais,-49.35,70.2167,1.71,78,92,16.73,TF,1691504760
3,warburg,51.5,9.1667,18.17,88,75,4.63,DE,1691504760
4,ntoum,0.3833,9.7833,26.87,52,66,4.13,GA,1691504760
5,waitangi,-43.9535,-176.5597,9.34,95,100,2.68,NZ,1691504760
6,mbanza-ngungu,-5.25,14.8667,31.99,29,3,2.73,CD,1691504760
7,bethel,41.3712,-73.414,25.29,78,75,5.14,US,1691504760
8,papatowai,-46.5619,169.4708,4.81,90,100,4.56,NZ,1691504760
9,sassandra,4.95,-6.0833,25.75,81,83,4.75,CI,1691504761
10,mersa matruh,31.3525,27.2453,28.25,61,0,7.5,EG,1691504559
11,tayshet,55.9342,98.0044,16.8,90,0,0.66,RU,1691504761
12,puerto natales,-51.7236,-72.4875,-0.17,82,68,0.71,CL,1691504761
13,kodiak,57.79,-152.4072,10.73,100,100,2.57,US,1691504761
14,grytviken,-54.2811,-36.5092,-4.25,81,20,3.96,GS,1691504761
15,tazacorte,28.629,-17.9293,24.54,80,75,3.58,ES,1691504761
16,hamilton,39.1834,-84.5333,24.32,73,20,2.06,US,1691504525
17,akureyri,65.6835,-18.0878,13.96,67,100,6.17,IS,1691504761
18,fontenay-le-comte,46.5833,-1.0,24.25,27,34,4.79,FR,1691504761
19,hammerfest,70.6634,23.6821,22.25,68,0,5.14,NO,1691504761
20,poso,-1.3959,120.7524,24.73,89,7,2.13,ID,1691504762
21,kruisfontein,-34.0033,24.7314,16.05,82,98,7.95,ZA,1691504763
22,quzhou,28.9594,118.8686,26.93,89,79,1.18,CN,1691504763
23,lompoc,34.6391,-120.4579,16.55,75,0,0.45,US,1691504763
24,corte,42.25,9.25,25.98,34,94,3.18,FR,1691504763
25,port lincoln,-34.7333,135.8667,12.15,53,5,4.7,AU,1691504764
26,saint-pierre,-21.3393,55.4781,22.82,64,0,5.14,RE,1691504764
27,longboat key,27.4125,-82.659,33.94,52,0,1.76,US,1691504764
28,bubaque,11.2833,-15.8333,27.51,80,29,2.86,GW,1691504764
29,nishinoomote,30.7333,131.0,27.29,94,100,23.48,JP,1691504764
30,edinburgh of the seven seas,-37.0676,-12.3116,14.87,85,23,20.22,SH,1691504765
31,punta arenas,-53.15,-70.9167,1.53,81,100,1.89,CL,1691504765
32,ribeira grande,38.5167,-28.7,25.22,73,40,4.02,PT,1691504765
33,bafq,31.6128,55.4107,37.53,14,51,7.95,IR,1691504766
34,vernon,50.2581,-119.2691,19.74,63,100,1.54,CA,1691504615
35,pisco,-13.7,-76.2167,20.03,73,100,3.09,PE,1691504678
36,longyearbyen,78.2186,15.6401,11.91,54,20,7.72,SJ,1691504766
37,speichersdorf,49.8833,11.7833,19.64,65,100,6.37,DE,1691504766
38,flin flon,54.7682,-101.865,12.91,88,100,4.63,CA,1691504766
39,brisas de zicatela,15.8369,-97.0419,27.29,78,40,0.0,MX,1691504766
40,cadale,2.7603,46.3222,25.61,77,72,9.3,SO,1691504767
41,olonkinbyen,70.9221,-8.7187,4.87,89,100,4.94,SJ,1691504767
42,college,64.8569,-147.8028,14.77,93,75,2.06,US,1691504767
43,adamstown,-25.066,-130.1015,21.54,89,99,10.68,PN,1691504767
44,constantia,44.1833,28.65,23.38,55,46,5.51,RO,1691504559
45,chonchi,-42.6128,-73.8092,10.07,96,100,1.8,CL,1691504767
46,karymskoye,51.6167,114.35,17.74,59,49,0.52,RU,1691504768
47,ilulissat,69.2167,-51.1,10.01,53,20,1.54,GL,1691504768
48,aitape,-3.1374,142.3475,25.01,88,73,1.65,PG,1691504768
49,smithers,54.7804,-127.1743,13.18,94,100,1.03,CA,1691504768
50,port mathurin,-19.6833,63.4167,22.83,70,35,9.91,MU,1691504768
51,ancud,-41.8697,-73.8203,8.94,92,100,3.12,CL,1691504768
52,lakatoro,-16.0999,167.4164,22.7,88,100,5.13,VU,1691504769
53,arraial do cabo,-22.9661,-42.0278,22.98,94,75,5.66,BR,1691504648
54,gadzhiyevo,69.2551,33.3362,24.16,61,0,6.28,RU,1691504769
55,ulladulla,-35.35,150.4667,9.14,90,10,2.2,AU,1691504769
56,blackmans bay,-43.0167,147.3167,5.29,92,52,2.73,AU,1691504769
57,bikenibeu village,1.3673,173.1241,26.98,89,100,3.09,KI,1691504769
58,albany,42.6001,-73.9662,23.68,84,99,2.12,US,1691504648
59,revelstoke,50.9832,-118.2023,17.01,82,100,0.0,CA,1691504770
60,aasiaat,68.7098,-52.8699,3.56,76,18,2.37,GL,1691504770
61,dudinka,69.4058,86.1778,21.46,55,59,2.39,RU,1691504770
62,ust-nera,64.5667,143.2,9.76,64,50,1.59,RU,1691504770
63,avarua,-21.2078,-159.775,18.03,88,20,1.03,CK,1691504770
64,ketchikan,55.3422,-131.6461,14.26,100,100,2.06,US,1691504770
65,dakhla,23.6848,-15.958,25.01,69,4,8.23,EH,1691504770
66,el abiodh sidi cheikh,32.893,0.5484,39.11,9,2,4.2,DZ,1691504770
67,ust'-ilimsk,58.0006,102.6619,18.0,82,100,1.46,RU,1691504770
68,lebu,-37.6167,-73.65,11.73,54,85,1.67,CL,1691504771
69,nyurba,63.2842,118.3319,18.37,58,0,2.85,RU,1691504771
70,horta,38.5333,-28.6333,24.8,80,40,4.02,PT,1691504771
71,kashgar,39.4547,75.9797,29.56,23,40,2.0,CN,1691504771
72,sambava,-14.2667,50.1667,23.03,80,0,4.82,MG,1691504771
73,kirakira,-10.4544,161.9205,24.81,89,100,2.96,SB,1691504771
74,ilhabela,-23.7781,-45.3581,20.5,93,100,2.12,BR,1691504771
75,balabac,7.9868,117.0645,28.38,76,53,4.6,PH,1691504771
